#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
3500,-357482.82211432327,300.3378728749289,238.21970577109477
3600,-357486.35336432327,301.6595139512324,238.21970577109477
3700,-358008.03305182327,304.6158774453663,238.21970577109477
3800,-358002.16586432327,303.20180774239066,238.21970577109477
3900,-358030.47836432327,301.2183729462787,238.21970577109477
4000,-357738.98617682327,299.63361195292697,238.21970577109477
4100,-357810.54086432327,303.97123317931556,238.21970577109477
4200,-357628.48617682327,305.89279574329817,238.21970577109477
4300,-356640.67367682327,299.62217283008613,238.21970577109477
4400,-357290.53305182327,304.26561367257693,238.21970577109477
4500,-357055.00961432327,299.7761571815442,238.21970577109477
4600,-358244.16586432327,305.3845524686948,238.21970577109477
4700,-357878.34555182327,300.0104089699624,238.21970577109477
4800,-358153.61117682327,299.7775979535668,238.21970577109477
4900,-357526.27523932327,295.58269396139303,238.21970577109477
5000,-358406.00961432327,300.4724687748237,238.21970577109477
5100,-358943.50961432327,302.5778222105742,238.21970577109477
5200,-358542.97055182327,299.5764433081062,238.21970577109477
5300,-358856.90023932327,299.88290646071323,238.21970577109477
5400,-358365.75961432327,296.7368409182192,238.21970577109477
5500,-358887.27523932327,301.45376098048513,238.21970577109477
5600,-358170.50961432327,301.94804422223723,238.21970577109477
5700,-358224.24398932327,300.5535854041127,238.21970577109477
5800,-358749.50180182327,303.37023628990227,238.21970577109477
5900,-359168.35336432327,304.20106955787236,238.21970577109477
6000,-358365.90023932327,299.0686878898609,238.21970577109477
6100,-357730.74398932327,298.2705116680226,238.21970577109477
6200,-358549.38461432327,300.657737629572,238.21970577109477
6300,-358173.20492682327,300.67628302270623,238.21970577109477
6400,-358228.65023932327,300.698719303425,238.21970577109477
6500,-358862.32211432327,303.39639673441616,238.21970577109477
6600,-358251.02523932327,301.433039508586,238.21970577109477
6700,-357616.43930182327,300.5967598136945,238.21970577109477
6800,-358410.76742682327,304.7142796478816,238.21970577109477
6900,-358645.24398932327,302.1818004279367,238.21970577109477
7000,-357885.61117682327,301.8363518701513,238.21970577109477
7100,-357499.40023932327,301.50726190887,238.21970577109477
7200,-358280.32992682327,300.28547381385454,238.21970577109477
7300,-358581.50180182327,301.11976388890463,238.21970577109477
7400,-358375.87680182327,301.6797581912715,238.21970577109477
7500,-358726.25180182327,300.828102041955,238.21970577109477
7600,-358858.71273932327,300.48813814582104,238.21970577109477
7700,-358929.33773932327,297.9906791461904,238.21970577109477
7800,-359382.16586432327,299.0499805809509,238.21970577109477
7900,-359615.72836432327,302.45505240820427,238.21970577109477
8000,-359452.78305182327,298.7738017693148,238.21970577109477
8100,-359081.00961432327,296.14532032559623,238.21970577109477
8200,-359451.36898932327,296.39103402902066,238.21970577109477
8300,-359484.55648932327,296.5639408160789,238.21970577109477
8400,-359356.15805182327,297.9224698876926,238.21970577109477
8500,-359075.12680182327,298.69604317560373,238.21970577109477
8600,-359270.18930182327,296.9164905858588,238.21970577109477
8700,-359048.84555182327,299.652305748201,238.21970577109477
8800,-358595.53305182327,300.67614821561625,238.21970577109477
8900,-359241.18930182327,302.36619028474627,238.21970577109477
9000,-358842.17367682327,304.6418257307607,238.21970577109477
9100,-357675.74398932327,298.75527968317704,238.21970577109477
9200,-357642.86898932327,296.8985325241007,238.21970577109477
